task_id,question,category,evaluation_method,score,confidence,status
task_1_1760896021,What is the date when the US SEC approved Bitcoin ,web_retrieval,rule_based,0.20654540880739689,0.95,completed
task_2_1760896040,What is the date of Ethereum Shapella mainnet upgr,web_retrieval,llm_based,0.6415,0.95,completed
task_3_1760896087,When did PayPal release PYUSD stablecoin?,web_onchain_retrieval,hybrid,0.5095000000000001,0.95,completed
task_4_1760896145,What is the topic0 of ERC-20 Transfer event?,onchain_retrieval,hybrid,0.8679999999999999,0.95,completed
task_5_1760896181,谁在 2017 年公开称比特币是骗局（fraud）？,web_retrieval,rule_based,0.3441961625826359,0.95,completed
task_6_1760896204,按 CoinGecko 口径，ETH 的历史最高价（ATH）与日期是？,web_retrieval,llm_based,0.29591428571428574,0.95,completed
task_7_1760896260,PayPal 发布 PYUSD 稳定币 的日期（UTC）？,web_retrieval,rule_based,0.20392919849574567,0.95,completed
task_8_1760896281,London 硬分叉（含 EIP-1559）主网激活的区块高度是？,onchain_retrieval,hybrid,0.8919999999999999,0.95,completed
task_9_1760896335,ERC-20 Transfer 事件的 topic0（事件签名哈希）是什么？,onchain_retrieval,rule_based,0.5026810507822037,0.95,completed
task_10_1760896362,Homestead 升级激活的区块高度是？,onchain_retrieval,hybrid,0.364,0.95,completed
